DM_glu5sa_m: Minimum = 0.0, Maximum = 0.9999999999878261, Range = 0.9999999999878261
DM_hcarn_c: Minimum = 0.0, Maximum = 0.24999999999803008, Range = 0.24999999999803008
DM_icit_h: Minimum = 0.0, Maximum = 68.57166766950047, Range = 68.57166766950047
DM_na1_c: Minimum = 0.0, Maximum = 9.999999999999979, Range = 9.999999999999979
DM_na1_h: Minimum = 0.0, Maximum = 10.0, Range = 10.0
DM_na1_m: Minimum = 0.0, Maximum = 10.000000000000204, Range = 10.000000000000204
DM_na1_x: Minimum = 0.0, Maximum = 9.999999999999206, Range = 9.999999999999206
DM_no_h: Minimum = 0.0, Maximum = 0.9999999999956929, Range = 0.9999999999956929
DM_o2D_u: Minimum = 0.0, Maximum = 12.766866899391559, Range = 12.766866899391559
DM_photon298_c: Minimum = 0.0, Maximum = 0.0, Range = 0.0
DM_photon437_u: Minimum = 0.0, Maximum = 0.0, Range = 0.0
DM_photon438_u: Minimum = 0.0, Maximum = 0.0, Range = 0.0
DM_photon450_h: Minimum = 0.0, Maximum = 0.0, Range = 0.0
DM_photon490_s: Minimum = 0.0, Maximum = 0.0, Range = 0.0
DM_photon646_h: Minimum = 0.0, Maximum = 17.66351759476936, Range = 17.66351759476936
DM_photon673_u: Minimum = 0.0, Maximum = 51.06746759756623, Range = 51.06746759756623
DM_photon680_u: Minimum = 0.0, Maximum = 58.689791317696795, Range = 58.689791317696795
DM_udg_m: Minimum = 0.0, Maximum = 0.33333333333537046, Range = 0.33333333333537046
DM_urdglyc_m: Minimum = 0.0, Maximum = 0.5000000000020629, Range = 0.5000000000020629
DM_pqa_h: Minimum = -4.475209173032988e-14, Maximum = 3.4762415335297754, Range = 3.4762415335298202
DM_amob_m: Minimum = -6.606300990084601e-28, Maximum = 2.9733190658760974e-07, Range = 2.9733190658760974e-07
DM_12dgr18111Z160_c: Minimum = 0.0, Maximum = 8.997763800013368, Range = 8.997763800013368
DM_12dgr1819Z160_c: Minimum = 0.0, Maximum = 10.575729839568277, Range = 10.575729839568277
DM_dad_5_c: Minimum = 0.0, Maximum = 0.14285714285914142, Range = 0.14285714285914142
DM_callose_c: Minimum = 0.0, Maximum = 19.682608312530547, Range = 19.682608312530547
DM_callose_f: Minimum = 0.0, Maximum = 0.0, Range = 0.0
DM_pcb_c: Minimum = 0.0, Maximum = 0.24999999999962158, Range = 0.24999999999962158
DM_fe2_h: Minimum = 0.0, Maximum = 9.999999999999998, Range = 9.999999999999998
DM_starch_h: Minimum = 0.0, Maximum = 0.12882381054200426, Range = 0.12882381054200426
DM_tag_c: Minimum = 0.0, Maximum = 6.840616887379708, Range = 6.840616887379708
CITALALDOR: Minimum = 0.0, Maximum = 0.0, Range = 0.0
CITALDM: Minimum = 0.0, Maximum = 0.0, Range = 0.0
CITALMO: Minimum = 0.0, Maximum = 0.0, Range = 0.0
CITALOR: Minimum = 0.0, Maximum = 0.0, Range = 0.0
DDMCITALOR: Minimum = 0.0, Maximum = 1.0920680066967452e-28, Range = 1.0920680066967452e-28
DMCITALDM: Minimum = 0.0, Maximum = 0.0, Range = 0.0
DMCITALOR: Minimum = 0.0, Maximum = 1.4701408121398094e-28, Range = 1.4701408121398094e-28
LIDOAMH: Minimum = 0.0, Maximum = 0.0, Range = 0.0
LIDODM: Minimum = 0.0, Maximum = 0.0, Range = 0.0
LIDOMO: Minimum = 0.0, Maximum = 0.0, Range = 0.0
MEGLYXYLAMH: Minimum = 0.0, Maximum = 0.0, Range = 0.0
CYTP450R: Minimum = 0.0, Maximum = 0.0, Range = 0.0
56DH5FLURAAMH: Minimum = 0.0, Maximum = 0.0, Range = 0.0
5FLURAOR: Minimum = 0.0, Maximum = 0.0, Range = 0.0
5FLURAPRT: Minimum = 0.0, Maximum = 0.0, Range = 0.0
6MPURPRT: Minimum = 0.0, Maximum = 0.0, Range = 0.0
6TINS5MPOR: Minimum = 0.0, Maximum = 0.0, Range = 0.0
6TXAN5MPAML: Minimum = 0.0, Maximum = 0.0, Range = 0.0
AFLBURPPAAMH: Minimum = 0.0, Maximum = 0.0, Range = 0.0
TEGAMO: Minimum = 0.0, Maximum = 0.0, Range = 0.0
TGUAPRT: Minimum = 0.0, Maximum = 0.0, Range = 0.0
EX_h_e: Minimum = -10.0, Maximum = 1000.0, Range = 1010.0
EX_h2o_e: Minimum = -10.0, Maximum = 1000.0, Range = 1010.0
EX_pi_e: Minimum = -10.0, Maximum = 1000.0, Range = 1010.0
EX_nh4_e: Minimum = -1.0, Maximum = 5.681899395426626e-12, Range = 1.000000000005682
EX_no3_e: Minimum = 0.0, Maximum = 0.9999999999895546, Range = 0.9999999999895546
EX_so4_e: Minimum = -10.0, Maximum = 0.0, Range = 10.0
