ACSERSULL: Minimum = 0.0, Maximum = 0.0, Range = 0.0
ACSERSULLh: Minimum = 0.0, Maximum = 0.0, Range = 0.0
ACSERSULLm: Minimum = 0.0, Maximum = 0.0, Range = 0.0
SHSL1h: Minimum = 0.0, Maximum = 0.0, Range = 0.0
SHSL2h: Minimum = 0.0, Maximum = 0.0, Range = 0.0
SHSL4h: Minimum = 0.0, Maximum = 0.0, Range = 0.0
CSLm: Minimum = 0.0, Maximum = 0.0, Range = 0.0
CSLh: Minimum = 0.0, Maximum = 0.0, Range = 0.0
AATC: Minimum = 0.0, Maximum = 0.0, Range = 0.0
AATCm: Minimum = 0.0, Maximum = 0.0, Range = 0.0
AATG: Minimum = 0.0, Maximum = 2.7475183328490687, Range = 2.7475183328490687
AATGm: Minimum = 0.0, Maximum = 0.0, Range = 0.0
CTINBL: Minimum = 0.0, Maximum = 0.0, Range = 0.0
CYSATm: Minimum = 0.0, Maximum = 1000.0, Range = 1000.0
CYSAT: Minimum = 0.0, Maximum = 0.0, Range = 0.0
CYSDO: Minimum = 0.0, Maximum = 2.747518332849377, Range = 2.747518332849377
CYSS: Minimum = 0.0, Maximum = 0.0, Range = 0.0
CYSS_trdrd: Minimum = 0.0, Maximum = 0.0, Range = 0.0
CYSTBL: Minimum = 0.0, Maximum = 2.7483236296152325, Range = 2.7483236296152325
CYSTL: Minimum = 0.0003952731383410796, Maximum = 0.0003952731383410796, Range = 0.0
CYSTAH: Minimum = 0.0, Maximum = 0.0, Range = 0.0
SAT: Minimum = -1.444400813157175e-20, Maximum = 0.0, Range = 1.444400813157175e-20
SATm: Minimum = 0.0, Maximum = 0.0, Range = 0.0
DM_apotfen_h: Minimum = 0.0, Maximum = 0.0, Range = 0.0
DM_asnglcnacglcnacman_LPAREN_man_RPAREN_man_c: Minimum = 0.0005955244845913462, Maximum = 0.000595496312691534, Range = -2.8171899812208696e-08
DM_bhb_m: Minimum = 0.0, Maximum = -2.676328948373052e-07, Range = -2.676328948373052e-07
DM_bhb_x: Minimum = 0.0, Maximum = 0.0, Range = 0.0
DM_cat_c: Minimum = 0.0, Maximum = 0.0, Range = 0.0
DM_ficytb5_c: Minimum = 0.0, Maximum = 0.0, Range = 0.0
